         3145 function calls (3073 primitive calls) in 0.023 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:202(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:605(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:152(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:656(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:667(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:678(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:695(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:728(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:748(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:757(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:848(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:883(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:906(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:923(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:940(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:978(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1005(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1030(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1028(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1047(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1075(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1073(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1171(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1232(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1225(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1465(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 argparse.py:1245(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:1552(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1586(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.001    0.001 argparse.py:1625(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1747(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1746(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:1754(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1761(parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1941(consume_positionals)
        1    0.000    0.000    0.000    0.000 argparse.py:1796(_parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:2098(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2102(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2092(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:1606(ArgumentParser)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
