PID/THRD         RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
files were found:
/Users/sergeyantonov/Desktop/Epam/EpamPython2019/11-programming-and-debugging/hw/hw2/file1.txt

20699/0xb016c:      6759      18     16 stat64("/usr/lib/system/libcache.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6775      11      8 stat64("/usr/lib/system/libcommonCrypto.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6792      11      8 stat64("/usr/lib/system/libcompiler_rt.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6806      11      8 stat64("/usr/lib/system/libcopyfile.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6818      10      7 stat64("/usr/lib/system/libcorecrypto.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6831      10      7 stat64("/usr/lib/system/libdispatch.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6844      11      8 stat64("/usr/lib/system/libdyld.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6857      10      7 stat64("/usr/lib/system/libkeymgr.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6870      11      8 stat64("/usr/lib/system/liblaunch.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6883      11      8 stat64("/usr/lib/system/libmacho.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6897      11      8 stat64("/usr/lib/system/libquarantine.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6909      10      7 stat64("/usr/lib/system/libremovefile.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6922      10      7 stat64("/usr/lib/system/libsystem_asl.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6935      10      7 stat64("/usr/lib/system/libsystem_blocks.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6948      11      8 stat64("/usr/lib/system/libsystem_c.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6959       8      6 stat64("/usr/lib/system/libsystem_configuration.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6970       8      5 stat64("/usr/lib/system/libsystem_coreservices.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6979       7      5 stat64("/usr/lib/system/libsystem_darwin.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      6991       7      5 stat64("/usr/lib/system/libsystem_dnssd.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7001       7      5 stat64("/usr/lib/system/libsystem_featureflags.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7010       7      5 stat64("/usr/lib/system/libsystem_info.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7020       7      5 stat64("/usr/lib/system/libsystem_m.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7029       8      5 stat64("/usr/lib/system/libsystem_malloc.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7039       7      5 stat64("/usr/lib/system/libsystem_networkextension.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7049       7      5 stat64("/usr/lib/system/libsystem_notify.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7058       7      5 stat64("/usr/lib/system/libsystem_sandbox.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7068       8      5 stat64("/usr/lib/system/libsystem_secinit.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7078       8      5 stat64("/usr/lib/system/libsystem_kernel.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7088       7      5 stat64("/usr/lib/system/libsystem_platform.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7098       8      6 stat64("/usr/lib/system/libsystem_pthread.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7107       7      5 stat64("/usr/lib/system/libsystem_symptoms.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7117       7      5 stat64("/usr/lib/system/libsystem_trace.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7128       7      5 stat64("/usr/lib/system/libunwind.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7137       8      5 stat64("/usr/lib/system/libxpc.dylib\0", 0x7FFEE822C9B8, 0x0)		 = 0 0
20699/0xb016c:      7734      68     60 open("/dev/dtracehelper\0", 0x2, 0xFFFFFFFFE822DD80)		 = 3 0
20699/0xb016c:      8199     466    462 ioctl(0x3, 0x80086804, 0x7FFEE822DC90)		 = 0 0
20699/0xb016c:      8208      10      6 close(0x3)		 = 0 0
20699/0xb016c:      8473      14      5 mprotect(0x107B5D000, 0x3000, 0x1)		 = 0 0
20699/0xb016c:      8476       4      1 mprotect(0x1079D3000, 0x1000, 0x1)		 = 0 0
20699/0xb016c:      8547      13      9 access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 2
20699/0xb016c:      8583      12      6 bsdthread_register(0x7FFF7006682C, 0x7FFF70066818, 0x2000)		 = 1073742047 0
20699/0xb016c:      8625      15      7 sysctlbyname(kern.bootargs, 0xD, 0x7FFEE822CC20, 0x7FFEE822CC10, 0x0)		 = 0 0
20699/0xb016c:      8676       4      0 issetugid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb016c:      8690       5      2 ioctl(0x2, 0x4004667A, 0x7FFEE822CF64)		 = 0 0
20699/0xb016c:      8701       5      1 mprotect(0x107C3B000, 0x1000, 0x0)		 = 0 0
20699/0xb016c:      8702       3      0 mprotect(0x107C40000, 0x1000, 0x0)		 = 0 0
20699/0xb016c:      8711       3      1 mprotect(0x107C41000, 0x1000, 0x0)		 = 0 0
20699/0xb016c:      8712       3      0 mprotect(0x107C46000, 0x1000, 0x0)		 = 0 0
20699/0xb016c:      8723       4      1 mprotect(0x1079D8000, 0x90, 0x1)		 = 0 0
20699/0xb016c:      8729       3      0 mprotect(0x107C47000, 0x1000, 0x1)		 = 0 0
20699/0xb016c:      8732       5      2 mprotect(0x1079D8000, 0x90, 0x3)		 = 0 0
20699/0xb016c:      8746       4      1 mprotect(0x1079D8000, 0x90, 0x1)		 = 0 0
20699/0xb016c:      8842       7      2 getentropy(0x7FFEE822C380, 0x20, 0x0)		 = 0 0
20699/0xb016c:      8843       3      0 getentropy(0x7FFEE822C3D0, 0x40, 0x0)		 = 0 0
20699/0xb016c:      9016       4      0 getpid(0x0, 0x0, 0x0)		 = 20699 0
20699/0xb016c:      9028      10      7 stat64("/AppleInternal\0", 0x7FFEE822D090, 0x0)		 = -1 2
20699/0xb016c:      9059       6      1 csops_audittoken(0x50DB, 0x7, 0x7FFEE822CBE0)		 = -1 22
20699/0xb016c:      9065       8      4 proc_info(0x2, 0x50DB, 0xD)		 = 64 0
20699/0xb016c:      9089       5      1 csops_audittoken(0x50DB, 0x7, 0x7FFEE822C460)		 = -1 22
20699/0xb016c:      9173       3      0 geteuid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb016c:      9174       2      0 getuid(0x0, 0x0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2210 (ID 563: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
20699/0xb016c:      9223       3      0 gettid(0x7FFEE822BD70, 0x7FFEE822BD74, 0x0)		 = -1 3
20699/0xb016c:      9223       2      0 geteuid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb016c:      9224       3      0 getegid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb016c:      9312       4      1 csops(0x50DB, 0x0, 0x7FFEE822CACC)		 = 0 0
20699/0xb016c:      9314       2      0 gettid(0x7FFEE822BD40, 0x7FFEE822BD44, 0x0)		 = -1 3
20699/0xb016c:      9315       2      0 geteuid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb016c:      9316       2      0 getegid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb016c:      9361      29     26 stat64("/System/Library/CoreServices/Encodings/libCyrillicConverter.dylib\0", 0x7FFEE822B9B8, 0x0)		 = 0 0
20699/0xb016c:      9681      50     44 open_nocancel("/usr/share/locale/ru_RU.UTF-8/LC_COLLATE\0", 0x0, 0x7)		 = 3 0
20699/0xb016c:      9683       5      0 fcntl_nocancel(0x3, 0x3, 0x0)		 = 0 0
20699/0xb016c:      9685       4      0 getrlimit(0x1008, 0x7FFEE822DEF0, 0x0)		 = 0 0
20699/0xb016c:      9695       7      3 fstat64(0x3, 0x7FFEE822DE68, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
20699/0xb016c:      9712       8      4 close_nocancel(0x3)		 = 0 0
20699/0xb016c:      9750      39     35 open_nocancel("/usr/share/locale/ru_RU.UTF-8/LC_CTYPE\0", 0x0, 0x5)		 = 3 0
20699/0xb016c:      9751       4      0 fcntl_nocancel(0x3, 0x3, 0x0)		 = 0 0
20699/0xb016c:      9756       6      3 fstat64(0x3, 0x7FFEE822DFA8, 0x0)		 = 0 0
20699/0xb016c:      9760       5      2 fstat64(0x3, 0x7FFEE822DDA8, 0x0)		 = 0 0
20699/0xb016c:      9762       3      1 lseek(0x3, 0x0, 0x1)		 = 0 0
20699/0xb016c:      9763       2      0 lseek(0x3, 0x0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
20699/0xb016c:      9943       5      2 close_nocancel(0x3)		 = 0 0
20699/0xb016c:      9966      21     17 open_nocancel("/usr/share/locale/ru_RU.UTF-8/LC_MONETARY\0", 0x0, 0x8)		 = 3 0
20699/0xb016c:      9969       4      1 fstat64(0x3, 0x7FFEE822DFB0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
20699/0xb016c:      9974       4      1 close_nocancel(0x3)		 = 0 0
20699/0xb016c:      9995      23     19 open_nocancel("/usr/share/locale/ru_RU.UTF-8/LC_NUMERIC\0", 0x0, 0x7)		 = 3 0
20699/0xb016c:      9998       4      1 fstat64(0x3, 0x7FFEE822DFB0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
20699/0xb016c:     10002       4      1 close_nocancel(0x3)		 = 0 0
20699/0xb016c:     10017      17     13 open_nocancel("/usr/share/locale/ru_RU.UTF-8/LC_TIME\0", 0x0, 0x4)		 = 3 0
20699/0xb016c:     10019       4      1 fstat64(0x3, 0x7FFEE822DFB0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
20699/0xb016c:     10024       4      1 close_nocancel(0x3)		 = 0 0
20699/0xb016c:     10041      18     14 open_nocancel("/usr/share/locale/ru_RU.UTF-8/LC_MESSAGES/LC_MESSAGES\0", 0x0, 0xFFFFFFFFFFFFFFF4)		 = 3 0
20699/0xb016c:     10043       4      1 fstat64(0x3, 0x7FFEE822DFB0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2187 (ID 951: syscall::read_nocancel:return): invalid kernel access in action #13 at DIF offset 68
20699/0xb016c:     10047       4      1 close_nocancel(0x3)		 = 0 0
20699/0xb016c:     10683    2610    525 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = 0 0
20699/0xb016c:     10740      31     25 readlink("/usr/local/bin/python3\0", 0x7FFEE8229B30, 0x400)		 = 34 0
20699/0xb016c:     10756      15     12 readlink("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/bin/python3\0", 0x7FFEE8229B30, 0x400)		 = -1 2
20699/0xb016c:     10785      16     12 open_nocancel("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/bin/pyvenv.cfg\0", 0x0, 0x1B6)		 = -1 2
20699/0xb016c:     10807      11      8 open_nocancel("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/pyvenv.cfg\0", 0x0, 0x1B6)		 = -1 2
20699/0xb016c:     10816       9      6 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/bin/Modules/Setup\0", 0x7FFEE822C3F0, 0x0)		 = -1 2
20699/0xb016c:     10823       8      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/bin/lib/python3.7/os.py\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
20699/0xb016c:     10835       8      5 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/../Cellar/python/3.7.5/bin/lib/python3.7/os.pyc\0", 0x7FFEE8229EC8, 0x0)		 = -1 2
